SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Suppression,Count of Students Expected to Test,Count of students expected to test including previously passed,CountMetStandard,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentMetTestedOnly,Percent No Score,Percent Participation
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,FRL,Low-Income,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,s504,Non Section 504,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,All,All Students,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,FRL,Low-Income,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Female,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,White,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,ELA,,87.0,87.0,8.0,9.2%,0.6436781609195,0.2643678160919,0.0804597701149,0.0114942528735,0.0919540229885,0.0,1.0
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,ELA,,428.0,428.0,173.0,40.4%,0.3317757009345,0.2546728971962,0.2242990654205,0.179906542056,0.4080188679245,0.0093457943925,0.9906542056074
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,03,SBAC,ELA,,166.0,166.0,110.0,66.3%,0.1144578313253,0.2048192771084,0.3493975903614,0.3132530120481,0.6748466257668,0.0180722891566,0.9819277108433
2017-18,Walla Walla Public Schools,FRL,Low-Income,03,SBAC,ELA,,262.0,262.0,63.0,24.0%,0.4694656488549,0.2862595419847,0.1450381679389,0.0954198473282,0.2413793103448,0.0038167938931,0.9961832061068
2017-18,Walla Walla Public Schools,homeless,Homeless,03,SBAC,ELA,<23%,,,,<23%,,,,,,,
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,03,SBAC,ELA,Cross Student Group - Top/Bottom,,,,41.2%,0.322891566265,0.2554216867469,0.2265060240963,0.1855421686746,0.4160583941605,0.0096385542168,0.9903614457831
2017-18,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,03,SBAC,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,TwoorMoreRaces,03,SBAC,ELA,Cross Student Group - N<10,,,,66.7%,0.2222222222222,0.1111111111111,0.3333333333333,0.3333333333333,0.6666666666666,0.0,1.0
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,SBAC,ELA,,178.0,178.0,37.0,20.8%,0.4943820224719,0.2977528089887,0.1404494382022,0.067415730337,0.2078651685393,0.0,1.0
