SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Suppression,Count of Students Expected to Test,CountMetStandard,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentMetTestedOnly,Percent No Score,Percent Participation
2024-25,Walla Walla Public Schools,All,All Students,03,SBAC,Math,,331,145,43.8%,0.32326283988,0.22054380665,0.22960725076,0.2084592145,0.44615384615,0.01812688822,0.98187311178
2024-25,Walla Walla Public Schools,All,All Students,03,SBAC,ELA,,331,136,41.1%,0.32326283988,0.25075528701,0.21450151057,0.19637462236,0.41717791411,0.01510574018,0.98489425982
2024-25,Walla Walla Public Schools,All,All Students,03,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,03,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,04,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,04,SBAC,ELA,,363,137,37.7%,0.39393939394,0.21487603306,0.18181818182,0.1955922865,0.38268156425,0.01377410468,0.98622589532
2024-25,Walla Walla Public Schools,All,All Students,04,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,04,SBAC,Math,,363,136,37.5%,0.29476584022,0.31955922865,0.18732782369,0.18732782369,0.37883008357,0.01101928375,0.98898071625
2024-25,Walla Walla Public Schools,All,All Students,05,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,05,SBAC,ELA,,394,179,45.4%,0.34010152284,0.17766497462,0.23096446701,0.22335025381,0.46736292428,0.02791878173,0.97208121827
2024-25,Walla Walla Public Schools,All,All Students,05,SBAC,Math,,394,155,39.3%,0.31725888325,0.2538071066,0.16497461929,0.22842639594,0.40789473684,0.03553299492,0.96446700508
2024-25,Walla Walla Public Schools,All,All Students,05,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,06,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,06,SBAC,ELA,,401,161,40.2%,0.34413965087,0.20199501247,0.26184538653,0.13965087282,0.42368421053,0.05236907731,0.94763092269
2024-25,Walla Walla Public Schools,All,All Students,06,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,06,SBAC,Math,,401,117,29.2%,0.43142144638,0.22443890274,0.12718204489,0.16458852868,0.30789473684,0.05236907731,0.94763092269
2024-25,Walla Walla Public Schools,All,All Students,07,SBAC,ELA,,377,145,38.5%,0.34217506631,0.20954907162,0.23342175066,0.15119363395,0.41076487252,0.06366047745,0.93633952255
2024-25,Walla Walla Public Schools,All,All Students,07,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,07,SBAC,Math,,377,111,29.4%,0.39522546419,0.24137931034,0.11405835544,0.18037135279,0.31623931624,0.06896551724,0.93103448276
2024-25,Walla Walla Public Schools,All,All Students,07,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,08,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,08,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,08,SBAC,Math,,373,110,29.5%,0.42627345845,0.19571045576,0.12868632708,0.16621983914,0.3216374269,0.08310991957,0.91689008043
2024-25,Walla Walla Public Schools,All,All Students,08,SBAC,ELA,,373,167,44.8%,0.22788203753,0.25469168901,0.30026809651,0.14745308311,0.48126801153,0.06970509383,0.93029490617
2024-25,Walla Walla Public Schools,All,All Students,10,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,10,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,All,All Students,10,SBAC,ELA,,471,251,53.3%,0.2144373673,0.17409766454,0.28450106157,0.24840764331,0.57834101382,0.07855626327,0.92144373673
2024-25,Walla Walla Public Schools,All,All Students,10,SBAC,Math,,472,111,23.5%,0.47245762712,0.20127118644,0.11440677966,0.12076271186,0.25874125874,0.09110169492,0.90889830508
2024-25,Walla Walla Public Schools,All,All Students,All Grades,AIM,ELA,<8%,,,7.9%,0.39473684211,0.52631578947,0.07894736842,0.0,0.07894736842,0.0,
2024-25,Walla Walla Public Schools,All,All Students,All Grades,SBAC,ELA,,"2,710","1,176",43.4%,0.30885608856,0.20959409594,0.24612546125,0.18782287823,0.45563734986,0.04760147601,0.95239852399
2024-25,Walla Walla Public Schools,All,All Students,All Grades,AIM,Math,,38,8,21.1%,0.07894736842,0.71052631579,0.21052631579,0.0,0.21052631579,0.0,1.0
2024-25,Walla Walla Public Schools,All,All Students,All Grades,SBAC,Math,,"2,711",885,32.6%,0.38472888233,0.23533751383,0.1493913685,0.17705643674,0.34489477786,0.0534857986,0.9465142014
2024-25,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,Math,,79,14,17.7%,0.60759493671,0.20253164557,0.15189873418,0.0253164557,0.17948717949,0.01265822785,0.98734177215
2024-25,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,ELA,,79,10,12.7%,0.54430379747,0.3164556962,0.10126582278,0.0253164557,0.12820512821,0.01265822785,0.98734177215
2024-25,Walla Walla Public Schools,ELL,English Language Learners,04,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,04,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,04,SBAC,ELA,,88,10,11.4%,0.65909090909,0.22727272727,0.09090909091,0.02272727273,0.11363636364,0.0,1.0
2024-25,Walla Walla Public Schools,ELL,English Language Learners,04,SBAC,Math,,88,9,10.2%,0.56818181818,0.32954545455,0.07954545455,0.02272727273,0.10227272727,0.0,1.0
2024-25,Walla Walla Public Schools,ELL,English Language Learners,05,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,05,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,05,SBAC,Math,<4%,,,4.0%,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,05,SBAC,ELA,,75,6,8.0%,0.69333333333,0.21333333333,0.08,0.0,0.08108108108,0.01333333333,0.98666666667
2024-25,Walla Walla Public Schools,ELL,English Language Learners,06,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,06,SBAC,ELA,<5%,,,<5%,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,06,SBAC,Math,<5%,,,<5%,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,06,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,07,SBAC,Math,<5%,,,4.9%,0.72131147541,0.13114754098,0.04918032787,0.0,0.05454545455,0.09836065574,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,07,SBAC,ELA,<5%,,,<5%,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,07,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,07,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,08,SBAC,Math,<6%,,,<6%,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,08,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,08,SBAC,ELA,,50,6,12.0%,0.5,0.26,0.12,0.0,0.13636363636,0.12,0.88
2024-25,Walla Walla Public Schools,ELL,English Language Learners,08,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,10,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,10,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,10,SBAC,Math,<6%,,,<6%,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,10,SBAC,ELA,<6%,,,5.8%,0.61538461538,0.26923076923,0.05769230769,0.0,0.0612244898,0.05769230769,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,All Grades,AIM,ELA,<21%,,,<21%,,,,,,,
2024-25,Walla Walla Public Schools,ELL,English Language Learners,All Grades,SBAC,ELA,,468,38,8.1%,0.64743589744,0.23504273504,0.07264957265,0.00854700855,0.08425720621,0.03632478632,0.96367521368
2024-25,Walla Walla Public Schools,ELL,English Language Learners,All Grades,SBAC,Math,,469,32,6.8%,0.70149253731,0.18763326226,0.05330490405,0.01492537313,0.07126948775,0.04264392324,0.95735607676
2024-25,Walla Walla Public Schools,ELL,English Language Learners,All Grades,AIM,Math,<21%,,,<21%,,,,,,,
2024-25,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,ELA,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,Non-English Language Learners,03,SBAC,ELA,,252,126,50.0%,0.25396825397,0.23015873016,0.25,0.25,0.50806451613,0.01587301587,0.98412698413
2024-25,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,Math,N<10,,,N<10,,,,,,,
2024-25,Walla Walla Public Schools,ELL,Non-English Language Learners,03,SBAC,Math,,252,131,52.0%,0.23412698413,0.22619047619,0.25396825397,0.26587301587,0.53036437247,0.01984126984,0.98015873016
