SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Count of Students Expected to Test,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentNoScore,PercentParticipation
2021-22,Walla Walla Public Schools,All,All Students,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Low-Income,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Male,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Race,TwoorMoreRaces,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Race,Asian,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Race,White,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,s504,Non Section 504,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Male,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,TwoorMoreRaces,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,Asian,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,White,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,s504,Non Section 504,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,03,SBAC,ELA,401.0,0.3566084788029,0.2693266832917,0.1720698254364,0.1720698254364,0.0299251870324,0.9700748129675
2021-22,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,ELA,88.0,0.6704545454545,0.215909090909,0.0681818181818,0.0227272727272,0.0227272727272,0.9772727272727
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,03,SBAC,ELA,313.0,0.2683706070287,0.2843450479233,0.2012779552715,0.2140575079872,0.0319488817891,0.9680511182108
2021-22,Walla Walla Public Schools,Foster,Foster Care,03,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,ELA,,0.3518987341772,0.2708860759493,0.1721518987341,0.1746835443037,0.0303797468354,0.9696202531645
2021-22,Walla Walla Public Schools,FRL,Low-Income,03,SBAC,ELA,247.0,0.4898785425101,0.2631578947368,0.1578947368421,0.0526315789473,0.0364372469635,0.9635627530364
2021-22,Walla Walla Public Schools,Gender,Male,03,SBAC,ELA,185.0,0.3729729729729,0.281081081081,0.1837837837837,0.1243243243243,0.0378378378378,0.9621621621621
2021-22,Walla Walla Public Schools,Gender,Female,03,SBAC,ELA,216.0,0.3425925925925,0.2592592592592,0.162037037037,0.2129629629629,0.0231481481481,0.9768518518518
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,03,SBAC,ELA,,0.3554987212276,0.2685421994884,0.1713554987212,0.1739130434782,0.0306905370843,0.9693094629156
2021-22,Walla Walla Public Schools,Migrant,Migrant,03,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,03,SBAC,ELA,,0.3560606060606,0.2676767676767,0.1717171717171,0.1742424242424,0.030303030303,0.9696969696969
